OCLC Number,WORLDCAT LINK,AUTHOR,AUTHOR URI,TITLE,MUSEUM #,IMPRINT,COUNTRY,DATE,CALL #(BIBLIO),LANG,Column1,,,,,,,
ocm00470993,http://www.worldcat.org/oclc/470993,"Bauer, Helen",http://experiment.worldcat.org/entity/work/data/1124628#Person/bauer_helen,California Indian Days / Helen Bauer,1.Q.293,"Garden City, N.Y. : Doubleday, 1963.",nyu,1963,E 78 .C15 B38 1963,eng,,,,,,,,
ocm00001249,http://www.worldcat.org/oclc/1249,"Bauer, Helen",http://experiment.worldcat.org/entity/work/data/1124628#Person/bauer_helen,California Indian Days / Helen Bauer,1.Q.293,"Garden City, N.Y. : Doubleday, 1968.",nyu,1968,E 78 .C15 B38 1968,eng,,,,,,,,
ocm30670505,http://www.worldcat.org/oclc/30670505,"Schwabacher, Martin, author.",http://viaf.org/viaf/65676795,The Chumash Indians / by Martin Schwabacher.,10.C.53,"New York : Chelsea Juniors, ©1995.",nyu,1995,"970.33 C559, S3c, 1995",eng,,,,,,,,
ocm30670505,http://www.worldcat.org/oclc/30670505,"Schwabacher, Martin,|eauthor.",http://viaf.org/viaf/65676795,The Chumash Indians / by Martin Schwabacher.,10.C.53,"New York : Chelsea Juniors, ©1995.",nyu,1995,"970.33 C559, S3c, 1995",eng,,,,,,,,
ocm032431680,http://www.worldcat.org/oclc/32431680,"Brower, Pauline, author.",http://viaf.org/viaf/113806459,Missions of the inland valleys / Pauline Brower.,10.C.53,"Minneapolis : Lerner Publications, ©1996.",mnu,1996,F 862 .B82 1996,eng,,,,,,,,
ocm32430275,http://www.worldcat.org/oclc/32430275,"MacMillan, Dianne M., 1943- author.",http://viaf.org/viaf/18882188,Missions of the Los Angeles area / Dianne MacMillan.,10.C.53,"Minneapolis, Minn. : Lerner Publications, ©1996.",mnu,1996,F 869 .L88 A24 1996,eng,,,,,,,,
ocm00625169,http://www.worldcat.org/oclc/625169,"United States. Bureau of Indian Affairs, issuing body.",http://viaf.org/viaf/145346890,Famous Indians : a collection of short biographies.,1026.G.1,"[Washington] : U.S. Govt. Print. Off., 1966.",dcu,1966,"970.2 U54f, 1966",eng,,,,,,,,
ocm02819211,http://www.worldcat.org/oclc/2819211,"United States. Bureau of Indian Affairs, issuing body.",http://viaf.org/viaf/145346890,Famous Indians : a collection of short biographies.,1026.G.1,"[Washington, D.C.] : U.S. Govt. Print. Off., 1975.",dcu,1975,"970.2 U54f, 1975 ",eng,,,,,,,,
ocm13524439,http://www.worldcat.org/oclc/13524439,"Goetzmann, William H., author.",http://viaf.org/viaf/88089345,The West of the imagination / William H. Goetzmann & William N. Goetzmann.,1026.G.1,"New York : Norton, ©1986.",nyu,1986,"709.978 G63w, 1986",eng,,,,,,,,
ocm24398291,http://www.worldcat.org/oclc/24398291,"Bragdon, Henry W. (Henry Wilkinson), 1906-1980, author.",http://viaf.org/viaf/113970412,"History of a free nation / by Henry W. Bragdon, Samuel P. McCutchen, Donald A. Ritchie.",1026.G.1,"Lake Forest, Ill. : Glencoe/Macmillan/McGraw-Hill, ©1992.",ohu,1992,"973 B72h, 1992",eng,,,,,,,,
